,Time_in_s,Frequency_in_Hz,Label
0,103.50774911494943,82.48619426210958,
1,103.54781036977896,75.6625905387053,
2,103.54781036977896,68.69380375735629,
3,103.63038395909751,61.4346508601177,
4,103.60974056176786,55.19177936849255,
5,103.7852094390698,50.545921514259845,
6,104.14646889233848,48.8037248189226,
7,104.38386796162932,53.885131846989594,
8,104.24968587898667,61.14428474422817,
9,104.15679059100329,68.11307152557718,
10,104.10518209767919,74.35594301720238,
11,103.99164341236619,80.45363145088275,
12,103.86778302838835,84.37357401539161,
